Object ID,Ticket Number,Citation Issue Date,Citaton Issue Month,Citation Issue Time,Location,Violation Code,Violation,Fine Amount,Citation Status,Amount Paid,Amount Due,Suspend Code,Suspend Process Date,Suspend Until Date,Disposition Code,Last Edited Date,Geom
14,100000528,3/10/08,,13:43,470 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7870749227, -122.411052542)"
15,100000529,3/10/08,,11:26,577 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7855694751, -122.414219806)"
16,100000530,3/11/08,,13:31,773 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.785162642, -122.417442277)"
17,100000531,3/11/08,,12:25,460 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7870950117, -122.410895068)"
18,100000532,3/11/08,,8:30,581 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,,23 PD TIMELY,,"(37.7855615283, -122.414283019)"
19,100000533,3/11/08,,14:13,14 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7880066309, -122.403747292)"
20,100000534,3/11/08,,7:12,518 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0, ,,, ,,"(37.7869705401, -122.411870744)"
21,100000535,3/12/08,,14:18,391 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,213 HR REQ REC,08/03/2008 12:00:00 AM +0000,11/01/2008 12:00:00 AM +0000,6 HD HR DNID,,"(37.78595535, -122.411149961)"
22,100000536,3/12/08,,14:47,842 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7862923575, -122.417185527)"
23,100000538,3/15/08,,15:32,408 GEARY,V22500H,DBL PARK,65,Closed,$125.00 ,0,109 109TRNLN,03/25/2008 12:00:00 AM +0000,04/15/2008 12:00:00 AM +0000, ,,"(37.7871994722, -122.410076203)"
24,100000539,3/17/08,,13:34,762 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,109 109TRNLN,03/25/2008 12:00:00 AM +0000,04/15/2008 12:00:00 AM +0000, ,,"(37.7864615663, -122.415859652)"
25,100000537,3/18/08,,12:22,231 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,109 109TRNLN,03/25/2008 12:00:00 AM +0000,04/15/2008 12:00:00 AM +0000, ,,"(37.7862735825, -122.408617751)"
26,100000980,4/12/08,,12:02,558 GEARY,V22500H,DBL PARK,65,Closed, $                       -,0, ,,,1 RU RV UPHD,,"(37.7868843546, -122.412546267)"
27,100000981,4/12/08,,12:02,558 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,15 15 DBL PRK,06/03/2008 12:00:00 AM +0000,06/24/2008 12:00:00 AM +0000, ,,"(37.7868843546, -122.412546267)"
28,100000982,4/12/08,,11:41,475 OFARRELL,V22500H,DBL PARK,65,Closed,$125.00 ,0,109 109TRNLN,04/20/2008 12:00:00 AM +0000,05/11/2008 12:00:00 AM +0000, ,,"(37.7857763943, -122.412573735)"
29,100000983,4/13/08,,15:18,426 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,109 109TRNLN,04/20/2008 12:00:00 AM +0000,05/11/2008 12:00:00 AM +0000, ,,"(37.7860027227, -122.411879192)"
30,100000984,4/14/08,,9:34,450 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,803 803ELIGREF,06/25/2008 12:00:00 AM +0000,09/23/2008 12:00:00 AM +0000, ,,"(37.7871151005, -122.410737595)"
31,100000989,4/25/08,,19:26,336 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,05/06/2008 12:00:00 AM +0000,05/27/2008 12:00:00 AM +0000, ,,"(37.7873530886, -122.408871917)"
32,100000990,4/30/08,,12:10,534 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,730 730TRNLN,05/07/2008 12:00:00 AM +0000,05/28/2008 12:00:00 AM +0000,5 HU HR UPHD,,"(37.7869361462, -122.412140332)"
33,100000991,5/2/08,,18:35,460 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,05/07/2008 12:00:00 AM +0000,05/28/2008 12:00:00 AM +0000, ,,"(37.7870950117, -122.410895068)"
34,100000992,5/2/08,,18:35,460 GEARY,V22500I,BUS ZONE,250,Closed,$275.00 ,0,730 730TRNLN,05/07/2008 12:00:00 AM +0000,05/28/2008 12:00:00 AM +0000, ,,"(37.7870950117, -122.410895068)"
35,100000993,5/2/08,,18:36,460 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,05/07/2008 12:00:00 AM +0000,05/28/2008 12:00:00 AM +0000, ,,"(37.7870950117, -122.410895068)"
36,100000994,5/2/08,,17:49,06 4TH ST,V22500H,DBL PARK,65,Open, $                       -,150,100 100AR-CNCL,12/30/2008 12:00:00 AM +0000,12/30/2008 12:00:00 AM +0000, ,,
37,100000996,5/2/08,,18:42,916 GEARY,V22500I,BUS ZONE,250,Closed,$275.00 ,0,91 P20 ENR,06/25/2008 12:00:00 AM +0000,10/08/2009 12:00:00 AM +0000, ,,"(37.7861355552, -122.41841774)"
38,100000998,5/31/08,,11:10,332 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,06/06/2008 12:00:00 AM +0000,06/27/2008 12:00:00 AM +0000, ,,"(37.7873611494, -122.408808715)"
39,100000999,5/31/08,,16:42,760 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,06/06/2008 12:00:00 AM +0000,06/27/2008 12:00:00 AM +0000, ,,"(37.7864655876, -122.415828144)"
40,100029151,5/31/08,,12:51,520 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,16 16 BUSZONE,07/29/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000,5 HU HR UPHD,,"(37.786966241, -122.411904443)"
41,100029152,5/31/08,,11:12,674 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,83 83 PEND HE,10/14/2008 12:00:00 AM +0000,04/12/2009 12:00:00 AM +0000,201 HR UP NTPD,,"(37.786647126, -122.414405518)"
42,100029153,5/31/08,,12:25,236 O'FARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,06/06/2008 12:00:00 AM +0000,06/27/2008 12:00:00 AM +0000, ,,"(37.7863873026, -122.408819137)"
43,100029155,6/2/08,,12:00,1039 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,06/09/2008 12:00:00 AM +0000,06/30/2008 12:00:00 AM +0000,23 PD TIMELY,,"(37.7846291881, -122.421680551)"
44,100029156,6/2/08,,8:59,5349 OFARRELL,V22500H,DBL PARK,65,Open, $                       -,150,730 730TRNLN,06/09/2008 12:00:00 AM +0000,06/30/2008 12:00:00 AM +0000, ,,
45,100029158,7/4/08,,13:45,371 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,15 15 DBL PRK,09/21/2008 12:00:00 AM +0000,10/12/2008 12:00:00 AM +0000, ,,"(37.7859949519, -122.410834868)"
46,100000051,7/10/08,,17:50,529 OFARRELL,V22500I,BUS ZONE,250,Closed,$335.00 ,0,16 16 BUSZONE,10/09/2008 12:00:00 AM +0000,10/30/2008 12:00:00 AM +0000, ,,"(37.7856648303, -122.413461267)"
47,100029160,7/10/08,,20:37,782 O'FARRELL,V22500H,DBL PARK,65,Closed,$125.00 ,0,91 P20 ENR,11/07/2008 12:00:00 AM +0000,04/02/2009 12:00:00 AM +0000, ,,"(37.7852782041, -122.41762712)"
48,100029161,7/10/08,,8:48,431 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7870197022, -122.410395186)"
49,100029162,7/10/08,,10:41,448 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000,23 PD TIMELY,,"(37.7871191184, -122.4107061)"
50,100029163,7/10/08,,18:32,609 O'FARRELL,V22500I,BUS ZONE,250,Closed,$275.00 ,0,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7855044357, -122.414737166)"
51,100029164,7/10/08,,17:33,643 O'FARRELL,V22500H,DBL PARK,65,Closed, $                       -,0,731 731MP EXP,07/22/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7854374712, -122.415269816)"
52,100029165,7/10/08,,20:36,946 GEARY,V22500I,BUS ZONE,250,Open, $                       -,335,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7860756635, -122.418892719)"
53,100029166,7/10/08,,15:27,372 O'FARRELL,V22500H,DBL PARK,65,Open,$65.00 ,85,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.786126619, -122.410893441)"
54,100029167,7/10/08,,15:27,372 O'FARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.786126619, -122.410893441)"
55,100000050,7/11/08,,19:17,924 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,731 731MP EXP,07/23/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.786119584, -122.418544401)"
56,100029169,7/11/08,,11:19,481 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7869192575, -122.411182556)"
57,100029170,7/11/08,,13:17,467 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7869473818, -122.410962093)"
58,100029171,7/11/08,,21:01,1008 GEARY,V22500H,DBL PARK,65,Closed, $                       -,0,83 83 PEND HE,10/19/2008 12:00:00 AM +0000,04/17/2009 12:00:00 AM +0000,201 HR UP NTPD,,"(37.7859435103, -122.419942036)"
59,100029172,7/11/08,,13:21,898 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,91 P20 ENR,08/04/2008 12:00:00 AM +0000,11/25/2008 12:00:00 AM +0000, ,,"(37.7861799958, -122.418065891)"
60,100029173,7/11/08,,18:50,1014 GEARY,T32A.1,TWAWY ZN#1,60,Open,$85.00 ,60,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7859315921, -122.420037259)"
61,100029174,7/11/08,,19:15,596 GEARY,V22500I,BUS ZONE,250,Open, $                       -,275, ,,, ,,"(37.7868095085, -122.413132892)"
62,100029168,7/13/08,,15:20,543 KEARNY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,803 803ELIGREF,10/22/2008 12:00:00 AM +0000,01/20/2009 12:00:00 AM +0000, ,,"(37.7930332509, -122.404601393)"
63,100000061,7/18/08,,11:21,528 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,51 DISMS CITE,08/17/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7869490436, -122.412039237)"
64,100000062,7/18/08,,13:03,464 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7870869758, -122.410958058)"
65,100000067,7/18/08,,13:03,666 GEARY,V22500I,BUS ZONE,250,Closed,$275.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7866632356, -122.414279274)"
66,100000069,7/18/08,,11:02,687 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.785339701, -122.416047467)"
67,100000063,7/19/08,,18:51,944 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,16 16 BUSZONE,11/11/2008 12:00:00 AM +0000,12/02/2008 12:00:00 AM +0000, ,,"(37.7860796557, -122.418861054)"
68,100000064,7/19/08,,17:02,596 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,83 83 PEND HE,10/23/2008 12:00:00 AM +0000,04/21/2009 12:00:00 AM +0000,6 HD HR DNID,,"(37.7868095085, -122.413132892)"
69,100000065,7/19/08,,13:08,854 GEARY,V22500H,DBL PARK,65,Closed,$90.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7862682807, -122.417374176)"
70,100000066,7/19/08,,15:01,854 GEARY,V22500I,BUS ZONE,250,Closed,$310.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000,26 COLFFDMV,,"(37.7862682807, -122.417374176)"
71,100000068,7/19/08,,13:08,840 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,83 83 PEND HE,11/09/2008 12:00:00 AM +0000,05/08/2009 12:00:00 AM +0000,201 HR UP NTPD,,"(37.78629637, -122.417154085)"
72,100000070,7/19/08,,17:04,774 GEARY,V22500H,DBL PARK,65,Closed,$125.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7864374409, -122.416048705)"
73,100000071,7/19/08,,20:17,581 OFARRELL,V22500I,BUS ZONE,250,Closed, $                       -,0,121 121 OFFCAL,11/08/2009 12:00:00 AM +0000,11/08/2009 12:00:00 AM +0000,20 PROJECT 20,,"(37.7855615283, -122.414283019)"
74,100000072,7/19/08,,18:51,928 GEARY,V22500I,BUS ZONE,250,Closed,$310.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7861115988, -122.418607732)"
75,100000074,7/20/08,,13:28,5650 MISSION,V22500I,BUS ZONE,250,Closed,$250.00 ,0,803 803ELIGREF,09/09/2008 12:00:00 AM +0000,12/08/2008 12:00:00 AM +0000, ,,"(37.7107991354, -122.447754976)"
76,100082625,7/20/08,,16:33,2883 MISSION,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7509434026, -122.41824376)"
77,100082626,7/20/08,,16:33,2813 MISSION,V22500H,DBL PARK,65,Closed, $                       -,0,731 731MP EXP,08/01/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.752017557, -122.418349443)"
78,100082627,7/20/08,,14:49,2641 MISSION,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7547850226, -122.418611017)"
79,100082628,7/20/08,,11:05,2815 MISSION,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7519868673, -122.418346423)"
80,100082629,7/23/08,,12:27,951 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7859320617, -122.4189289)"
81,100082630,7/24/08,,17:49,468 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7870789407, -122.411021047)"
82,100082633,7/24/08,,19:41,645 GEARY,V22500I,BUS ZONE,250,Closed,$310.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000,26 COLFFDMV,,"(37.7865719585, -122.413904637)"
83,100082634,7/24/08,,19:44,858 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,731 731MP EXP,08/05/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7862602547, -122.41743706)"
84,100082632,7/25/08,,19:28,2854 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000,23 PD TIMELY,,"(37.7823179334, -122.449692945)"
85,100082635,7/25/08,,16:50,646 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,213 HR REQ REC,01/19/2009 12:00:00 AM +0000,04/19/2009 12:00:00 AM +0000,5 HU HR UPHD,,"(37.7867035067, -122.413963663)"
86,100082636,7/26/08,,19:30,336 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,15 15 DBL PRK,10/17/2008 12:00:00 AM +0000,11/07/2008 12:00:00 AM +0000, ,,"(37.7873530886, -122.408871917)"
87,100082637,7/27/08,,12:15,336 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000, ,,"(37.7873530886, -122.408871917)"
88,100082638,7/27/08,,12:16,620 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0, ,,, ,,"(37.7867558588, -122.413553368)"
89,100082639,7/27/08,,18:40,590 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000, ,,"(37.7856772877, -122.414468117)"
90,100082640,7/27/08,,10:31,667 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000, ,,"(37.7853804265, -122.415723545)"
91,100082641,7/27/08,,20:08,667 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000, ,,"(37.7853804265, -122.415723545)"
92,100082642,7/27/08,,10:30,336 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,16 16 BUSZONE,10/17/2008 12:00:00 AM +0000,11/07/2008 12:00:00 AM +0000,5 HU HR UPHD,,"(37.7873530886, -122.408871917)"
93,100082643,7/30/08,,12:34,476 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,15 15 DBL PRK,10/10/2008 12:00:00 AM +0000,10/31/2008 12:00:00 AM +0000, ,,"(37.7870628687, -122.411147027)"
94,100082644,7/30/08,,17:19,463 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,15 15 DBL PRK,10/27/2008 12:00:00 AM +0000,11/17/2008 12:00:00 AM +0000, ,,"(37.7857997082, -122.412388256)"
95,100082645,7/30/08,,10:06,207 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,16 16 BUSZONE,10/20/2008 12:00:00 AM +0000,11/10/2008 12:00:00 AM +0000, ,,"(37.786329343, -122.40817401)"
96,100082646,8/4/08,,9:20,5999 GEARY,V22500H,DBL PARK,75,Closed,$100.00 ,0,730 730TRNLN,08/12/2008 12:00:00 AM +0000,09/02/2008 12:00:00 AM +0000, ,,"(37.7800756965, -122.483693822)"
97,100082647,8/4/08,,12:06,6479 GEARY,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/12/2008 12:00:00 AM +0000,09/02/2008 12:00:00 AM +0000, ,,"(37.7797762572, -122.488790579)"
98,100082648,8/4/08,,10:26,2869 GEARY,V22500I,BUS ZONE,250,Closed,$310.00 ,0,91 P20 ENR,12/08/2008 12:00:00 AM +0000,03/17/2009 12:00:00 AM +0000, ,,"(37.78202134, -122.449775138)"
99,100082649,8/4/08,,17:53,98 OFARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/12/2008 12:00:00 AM +0000,09/02/2008 12:00:00 AM +0000, ,,"(37.7866920234, -122.406394045)"
100,100091625,8/4/08,,14:10,758 OFARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/12/2008 12:00:00 AM +0000,09/02/2008 12:00:00 AM +0000,23 PD TIMELY,,"(37.7853262631, -122.417249194)"
101,100091626,8/4/08,,18:29,571 OFARRELL,V22500I,BUS ZONE,250,Closed,$310.00 ,0,730 730TRNLN,08/12/2008 12:00:00 AM +0000,09/02/2008 12:00:00 AM +0000,26 COLFFDMV,,"(37.7855813946, -122.41412499)"
102,100091627,8/5/08,,20:10,850 OFARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,15 15 DBL PRK,10/29/2008 12:00:00 AM +0000,11/19/2008 12:00:00 AM +0000, ,,"(37.785134461, -122.418767184)"
103,100091628,8/5/08,,10:11,646 MARKET,V22500H,DBL PARK,75,Closed,$135.00 ,0,730 730TRNLN,08/15/2008 12:00:00 AM +0000,09/05/2008 12:00:00 AM +0000, ,,"(37.7883268962, -122.402784123)"
104,100091629,8/5/08,,13:41,548 OFARRELL,V22500H,DBL PARK,75,Closed, $                       -,0,51 DISMS CITE,10/27/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7857607253, -122.413804394)"
105,100091630,8/5/08,,20:11,736 OFARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/15/2008 12:00:00 AM +0000,09/05/2008 12:00:00 AM +0000, ,,"(37.7853703149, -122.41690276)"
106,100091631,8/9/08,,15:12,685 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,91 P20 ENR,12/09/2008 12:00:00 AM +0000,04/22/2009 12:00:00 AM +0000, ,,"(37.7853437737, -122.416015075)"
107,100091632,8/9/08,,8:39,440 GEARY,V22500H,DBL PARK,75,Closed,$100.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.78713519, -122.410580121)"
108,100091633,8/9/08,,11:45,506 GEARY,V22500H,DBL PARK,75,Closed, $                       -,0,213 HR REQ REC,12/01/2008 12:00:00 AM +0000,03/01/2009 12:00:00 AM +0000,5 HU HR UPHD,,"(37.7869963353, -122.411668553)"
109,100091634,8/9/08,,17:32,688 GEARY,V22500H,DBL PARK,75,Closed,$75.00 ,0, ,,, ,,"(37.7866189355, -122.414626445)"
110,100091635,8/9/08,,17:31,482 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7870508154, -122.411241512)"
111,100091636,8/9/08,,15:43,937 GEARY,NO VIOL,NO VIOL,0,Closed, $                       -,0, ,,,25 OFCR ERROR,,"(37.7859600117, -122.418707243)"
112,100091637,8/10/08,,8:51,565 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7867369611, -122.412611429)"
113,100091642,8/10/08,,10:52,470 GEARY,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7870749227, -122.411052542)"
114,100091638,8/11/08,,12:52,128 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7877792214, -122.405530682)"
115,100091639,8/11/08,,14:52,54 GEARY,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7879292405, -122.404354229)"
116,100091640,8/11/08,,10:52,649 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7865639043, -122.413967758)"
117,100091641,8/11/08,,12:23,723 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7852627609, -122.416654929)"
118,100091643,8/12/08,,15:37,1079 GEARY,V22500H,DBL PARK,75,Closed,$75.00 ,0, ,,, ,,"(37.785668819, -122.421026011)"
119,100091644,8/12/08,,12:37,593 MARKET,V22500H,DBL PARK,75,Closed,$75.00 ,0,22 22 GEN VAL,02/17/2009 12:00:00 AM +0000,03/10/2009 12:00:00 AM +0000,21 MAIL DELAY,,"(37.7893350323, -122.401102721)"
120,100091646,8/24/08,,10:13,1204 MISSION,V22500H,DBL PARK,75,Closed, $                       -,0,731 731MP EXP,09/09/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7774444423, -122.413316173)"
121,100091647,8/24/08,,17:44,4581 MISSION,V22500I,BUS ZONE,250,Closed, $                       -,0,731 731MP EXP,09/09/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7249647445, -122.434501122)"
122,100091648,8/24/08,,12:47,315 MISSION,V22500I,BUS ZONE,250,Closed, $                       -,0,731 731MP EXP,09/09/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7909953847, -122.395909588)"
123,100091649,8/24/08,,14:04,4581 MISSION,V22500H,DBL PARK,75,Closed, $                       -,0,731 731MP EXP,09/09/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7249647445, -122.434501122)"
